epoch,train_loss,val_accuracy,val_macro_f1,lr
1,1.1323401766635148,0.27968248606654283,0.19531720102062436,9.990133642141359e-05
2,0.8778687132297512,0.3198783989191015,0.21285627958810158,9.96057350657239e-05
3,0.7548400962384247,0.37290998142205706,0.22985763981635587,9.911436253643444e-05
4,0.6785268528872784,0.3658165850363114,0.22443894293806813,9.842915805643155e-05
5,0.5947887508252481,0.3345718628610032,0.21978664061022674,9.755282581475769e-05
6,0.5413519486896569,0.3749366661036987,0.2326489670673987,9.648882429441257e-05
7,0.4872474705431741,0.3751055564938355,0.23135959910833465,9.524135262330098e-05
8,0.4438233929886966,0.3624387772335754,0.23003063889467232,9.381533400219317e-05
9,0.4113121018197119,0.3742611045431515,0.22617465826337413,9.221639627510075e-05
10,0.37408532924948235,0.38067893936834996,0.2404927200317135,9.045084971874735e-05
11,0.3492431190532382,0.41310589427461575,0.25169756343055916,8.852566213878945e-05
12,0.3200311558872881,0.4293193717277487,0.2485535862567882,8.644843137107056e-05
13,0.2975974662760553,0.4320216179699375,0.2485258690316022,8.422735529643442e-05
14,0.2866525113057341,0.4207059618307718,0.25147715080960636,8.187119948743447e-05
15,0.2686352253570683,0.4597196419523729,0.2634360623487376,7.938926261462366e-05
16,0.25400555342741077,0.4284749197770647,0.25317466922540743,7.679133974894982e-05
17,0.2387604010710865,0.419692619489951,0.25045976089063704,7.408768370508575e-05
18,0.22274589259221264,0.4879243371052187,0.26162841756261435,7.128896457825361e-05
19,0.21551899846622583,0.45380847829758486,0.2574106216111379,6.840622763423389e-05
20,0.2018517762458155,0.46833305184934976,0.26048827548580544,6.545084971874736e-05
21,0.1953011815835968,0.49467995271069076,0.25763813314326917,6.243449435824272e-05
22,0.1794523227909852,0.505488937679446,0.2669766525094592,5.9369065729286224e-05
23,0.18223036507852458,0.47846647525755787,0.2611768770898162,5.626666167821521e-05
24,0.1733311083696162,0.47643979057591623,0.25785847248171956,5.3139525976465657e-05
25,0.16321826849884682,0.47795980408714744,0.2570656047306801,4.999999999999998e-05
26,0.15779110621094017,0.4717108596520858,0.2626119985249999,4.6860474023534314e-05
27,0.15191669591138726,0.48927546022631313,0.26544893895118166,4.3733338321784775e-05
28,0.15264292156271142,0.4877554467150819,0.2663547297515673,4.063093427071375e-05
29,0.14007594779693042,0.4679952710690762,0.26266895487991637,3.756550564175724e-05
30,0.13710548196990077,0.49636885661205876,0.26697290106774413,3.454915028125263e-05
