epoch,train_loss,val_accuracy,val_macro_f1,lr
1,0.9228017838011943,0.617339312406577,0.6050607344492118,9.972609476841367e-05
2,0.6557775066623366,0.7105132037867464,0.6966622842632895,9.890738003669029e-05
3,0.4953239543596929,0.7224713502740409,0.6931582345878601,9.755282581475769e-05
4,0.4155842276075674,0.7493771798704534,0.7333968574895787,9.567727288213003e-05
5,0.33514652395004035,0.7643248629795715,0.7412838072443156,9.330127018922194e-05
6,0.2874092223942471,0.7693074240159442,0.7464739320588534,9.045084971874738e-05
7,0.25244293824083247,0.7528649725959143,0.7325308600767093,8.715724127386972e-05
8,0.2131983661101767,0.7932237169905332,0.7590191667076615,8.345653031794292e-05
9,0.19202931294984957,0.809666168410563,0.7813877647280794,7.938926261462366e-05
10,0.16567477854988957,0.8285999003487793,0.8019597265780074,7.500000000000001e-05
11,0.13744471628380375,0.8181365221723966,0.788757959743658,7.033683215379003e-05
12,0.13233264666444441,0.8241155954160438,0.7974065405162344,6.545084971874738e-05
13,0.10107248530234125,0.8211260587942202,0.7928991011648222,6.039558454088797e-05
14,0.09612859948752032,0.8345789735924265,0.8121189573673628,5.522642316338269e-05
15,0.08756927507900668,0.8221225710014948,0.8000331666007593,5.000000000000002e-05
16,0.07635310512993063,0.8300946686596911,0.8040007526120523,4.4773576836617344e-05
17,0.06716250756148114,0.84853014449427,0.8242158304781378,3.9604415459112035e-05
18,0.06389050480638979,0.8395615346287992,0.8127858304703353,3.4549150281252636e-05
19,0.04594755942770981,0.8385650224215246,0.8114761609948118,2.966316784621e-05
20,0.045227979773032265,0.8425510712506228,0.8173085079503153,2.5000000000000015e-05
21,0.03585165222308291,0.8550074738415545,0.830988466226555,2.0610737385376352e-05
22,0.026442213939749836,0.8490284005979073,0.8228852791804833,1.654346968205711e-05
23,0.02617389461359926,0.8550074738415545,0.8308093300730777,1.2842758726130304e-05
24,0.0247477398528621,0.8619830592924763,0.8414959607314707,9.549150281252636e-06
25,0.019568692853835577,0.852017937219731,0.8291925458820588,6.698729810778068e-06
26,0.017042786462018483,0.8535127055306427,0.8301153047640746,4.322727117869953e-06
27,0.019435034217225675,0.85949177877429,0.8359852360468032,2.447174185242324e-06
28,0.015772219756042902,0.8649725959143,0.8424442710425726,1.092619963309716e-06
29,0.015842432665717977,0.8570004982561036,0.831999044390977,2.7390523158633003e-07
30,0.015069246266658506,0.8545092177379173,0.8290540991934753,0.0
