epoch,train_loss,val_accuracy,val_macro_f1,lr
1,0.7820629843548804,0.3279324509356458,0.20567556129682169,9.980973490458728e-05
2,0.4506087882886813,0.3366042902784117,0.2142776914337531,9.92403876506104e-05
3,0.3147871688297574,0.3753993610223642,0.22448182932040797,9.82962913144534e-05
4,0.23269313705135958,0.34824281150159747,0.21888449153971679,9.698463103929541e-05
5,0.19354850724707442,0.3639890460976723,0.22331960837593362,9.531538935183249e-05
6,0.1659552692043817,0.4062072113190324,0.23955714982623766,9.330127018922193e-05
7,0.13633202669586386,0.41305340027384757,0.243679317947265,9.095760221444959e-05
8,0.12587886653950928,0.39685075308078505,0.2367775542962709,8.830222215594888e-05
9,0.10961413655407673,0.4226380648105888,0.24987321029097745,8.535533905932735e-05
10,0.09561412447273751,0.41054313099041534,0.2472147798127701,8.213938048432694e-05
11,0.09424086877805966,0.4276586033774532,0.255113105206297,7.867882181755228e-05
12,0.0759944696253093,0.43678685531720673,0.26540883579979224,7.499999999999997e-05
13,0.07145005584868451,0.42834322227293475,0.25687841977586073,7.113091308703494e-05
14,0.06430876271356657,0.41602008215426745,0.2536186552143752,6.710100716628342e-05
15,0.060018442626174555,0.42081241442263806,0.2508243137347407,6.294095225512602e-05
16,0.058128838887720795,0.4205842081241442,0.2562101685082663,5.8682408883346504e-05
17,0.050048343051072114,0.44089456869009586,0.26477716440793353,5.435778713738289e-05
18,0.04359343233440658,0.45276129621177547,0.2663215816546403,4.999999999999999e-05
19,0.038474103886803335,0.4543587403012323,0.27496712958353825,4.564221286261709e-05
20,0.03689284377315291,0.46211775445002284,0.2741689370562256,4.131759111665347e-05
21,0.0363519638574585,0.4472843450479233,0.26897091528123573,3.7059047744873944e-05
22,0.03196455537446321,0.43541761752624375,0.2633177861859899,3.289899283371657e-05
23,0.02648259921484947,0.43336376083979916,0.26187712322670176,2.886908691296503e-05
24,0.02618733481084379,0.44979461433135554,0.2739935021732479,2.5000000000000005e-05
25,0.022977108210959146,0.4511638521223186,0.2661522508739739,2.1321178182447686e-05
26,0.019349752688122567,0.4504792332268371,0.26399335915156674,1.7860619515673026e-05
27,0.018918689956635266,0.45230488361478777,0.26915699547420024,1.4644660940672622e-05
