epoch,train_loss,val_accuracy,val_macro_f1,lr
1,0.7677555228555053,0.7569602921040621,0.5996713427709548,9.972609476841367e-05
2,0.4481634147637185,0.7478320401643085,0.6374600589660997,9.890738003669029e-05
3,0.3227090861284554,0.8073938840712004,0.6734372782152804,9.755282581475769e-05
4,0.25742105983515007,0.8304427202190781,0.7023505218953316,9.567727288213003e-05
5,0.2127360533102294,0.8436786855317207,0.7178014643806255,9.330127018922194e-05
6,0.1836242470774614,0.8407120036513007,0.7110139082110413,9.045084971874738e-05
7,0.15435564573350544,0.805111821086262,0.6840351576528048,8.715724127386972e-05
8,0.14338327863619652,0.8320401643085349,0.6890320076315045,8.345653031794292e-05
9,0.12516192209282853,0.8655864901871292,0.7379573157625516,7.938926261462366e-05
10,0.11108643524478067,0.8509812870835235,0.7335446850212939,7.500000000000001e-05
11,0.09715921120108306,0.8726608854404382,0.7490968566071651,7.033683215379003e-05
12,0.08697414468725072,0.8607941579187586,0.7488654568827137,6.545084971874738e-05
13,0.08249804463096717,0.8589685075308079,0.7368925696977568,6.039558454088797e-05
14,0.06914518315615643,0.8788224554997718,0.7659204791508462,5.522642316338269e-05
15,0.06257711011304534,0.8861250570515746,0.7693422038413457,5.000000000000002e-05
16,0.049639393546395655,0.8838429940666362,0.7786930849121957,4.4773576836617344e-05
17,0.050385316959086573,0.8626198083067093,0.7551015011641439,3.9604415459112035e-05
18,0.03742990558010206,0.8929712460063898,0.7790000397213264,3.4549150281252636e-05
19,0.03727628365044959,0.8973071656777727,0.7873814510872064,2.966316784621e-05
20,0.029598280763514326,0.9020994979461433,0.7964960488337722,2.5000000000000015e-05
21,0.025135681498704668,0.8959379278868097,0.7955109794368244,2.0610737385376352e-05
22,0.02283217140319184,0.903925148334094,0.8012623232223198,1.654346968205711e-05
23,0.01583252544887118,0.9094020994979461,0.8094060868977794,1.2842758726130304e-05
24,0.016598373804521987,0.910999543587403,0.8140446913108101,9.549150281252636e-06
25,0.012430547787724972,0.9148790506617983,0.817620487294862,6.698729810778068e-06
26,0.010398156514325638,0.9080328617069832,0.8079831558388131,4.322727117869953e-06
27,0.011223101165928182,0.9173893199452305,0.8222206502012368,2.447174185242324e-06
28,0.009009806942306726,0.916704701049749,0.8185296179195516,1.092619963309716e-06
29,0.009448147573177752,0.9205842081241442,0.8302615240459665,2.7390523158633003e-07
30,0.007161156699025828,0.9210406207211319,0.8318834642136002,0.0
