epoch,train_loss,val_accuracy,val_macro_f1,lr
1,1.0674780493886027,0.5767606823171761,0.468324995742739,9.990133642141359e-05
2,0.8594241544066628,0.6324945110623206,0.526449784815296,9.96057350657239e-05
3,0.7452574260830814,0.6617125485559872,0.5629701001687687,9.911436253643444e-05
4,0.6263706111708637,0.7062996115521026,0.5784817719894166,9.842915805643155e-05
5,0.547423798238876,0.668637054551596,0.5452197797936789,9.755282581475769e-05
6,0.46031286522984993,0.6078365141023476,0.5167288863698752,9.648882429441257e-05
7,0.40334586531386557,0.7267353487586556,0.6147021573928708,9.524135262330098e-05
8,0.3591195431448842,0.6784326971795305,0.578122589747834,9.381533400219317e-05
9,0.33116250657134877,0.6730282046951529,0.5520985025761064,9.221639627510075e-05
10,0.2821070914845039,0.7118729944266171,0.6061222807499278,9.045084971874735e-05
11,0.2609442454661269,0.7208241851038676,0.6150531427054918,8.852566213878945e-05
12,0.2499262673936649,0.7194730619827732,0.6029565854682817,8.644843137107056e-05
13,0.20579760391923763,0.7427799358216517,0.6226595363137537,8.422735529643442e-05
14,0.1913542497984946,0.7324776220233069,0.6126985083930473,8.187119948743447e-05
15,0.18005229492824576,0.7515622361087654,0.6325859907159046,7.938926261462366e-05
16,0.1636710889372678,0.7606823171761526,0.6406996485095944,7.679133974894982e-05
17,0.15434894898573945,0.7719979733153184,0.6316524964735345,7.408768370508575e-05
18,0.1447412097007349,0.7780780273602432,0.65475876992366,7.128896457825361e-05
19,0.13272809809998723,0.779935821651748,0.6507612737002126,6.840622763423389e-05
20,0.12915430700411218,0.7795980408714744,0.6435760085777575,6.545084971874736e-05
21,0.11466592670064446,0.7449755108934302,0.6235523654280463,6.243449435824272e-05
22,0.09966833485140553,0.776558013849012,0.6487946739982806,5.9369065729286224e-05
23,0.09950096302826109,0.794460395203513,0.6554620506138369,5.626666167821521e-05
24,0.08579305318495267,0.7770646850194224,0.6520504111341974,5.3139525976465657e-05
25,0.07752116323259932,0.7902381354500929,0.6591597595030712,4.999999999999998e-05
26,0.06896089910931359,0.7988515453470697,0.6625163853927036,4.6860474023534314e-05
27,0.06259454351417645,0.7721668637054552,0.6446132889837313,4.3733338321784775e-05
28,0.057797199262257286,0.804593818611721,0.6720522923698053,4.063093427071375e-05
29,0.05739586291850756,0.7915892585711873,0.6415063719081538,3.756550564175724e-05
30,0.04499028909472052,0.8000337780780273,0.6657783996175016,3.454915028125263e-05
31,0.043923884548129837,0.8086471879750042,0.6653535013051227,3.1593772365766105e-05
32,0.04173896834811673,0.7909136970106401,0.6578755142356659,2.8711035421746357e-05
33,0.03361407883893201,0.8076338456341834,0.6704899440634232,2.591231629491422e-05
34,0.0343342913355661,0.802904914710353,0.6665379670665599,2.3208660251050148e-05
35,0.03028249178114159,0.7959804087147442,0.6716614979560015,2.061073738537634e-05
36,0.02619246864798443,0.8074649552440466,0.6762480686605711,1.8128800512565503e-05
37,0.02668126105443512,0.8189495017733491,0.6849138780690995,1.5772644703565555e-05
38,0.02361601724756544,0.8142205708495187,0.6816090825164179,1.3551568628929426e-05
39,0.024064319076335973,0.8135450092889714,0.6805142727133892,1.1474337861210536e-05
40,0.022163876952257057,0.8135450092889714,0.6830860130429042,9.549150281252626e-06
41,0.017555955270249106,0.8128694477284243,0.6793732419205926,7.783603724899252e-06
42,0.01607938958706792,0.8211450768451275,0.6872829871861053,6.184665997806817e-06
43,0.01754191611507553,0.8169228170917074,0.69100163713962,4.75864737669903e-06
44,0.013183880038516463,0.8186117209930754,0.6879694839284141,3.5111757055874303e-06
45,0.013668762886375715,0.8223273095760851,0.6845992267453713,2.4471741852423216e-06
46,0.012876302304356917,0.8175983786522547,0.6757721750444733,1.5708419435684504e-06
47,0.013665734759514363,0.8216517480155379,0.6910019064904069,8.856374635655631e-07
48,0.011484581565914009,0.8197939537240331,0.6846590804649051,3.942649342761114e-07
49,0.014056443294067432,0.8177672690423915,0.6874399343359121,9.866357858642197e-08
50,0.014251523917190251,0.8206384056747171,0.6861057807263833,0.0
