epoch,train_loss,val_accuracy,val_macro_f1,lr
1,0.8969264050949617,0.5521026853572032,0.4692583044951741,9.990133642141359e-05
2,0.6401691793282349,0.624387772335754,0.5385382279247379,9.96057350657239e-05
3,0.4996867406033248,0.7005573382874515,0.5681713668553974,9.911436253643444e-05
4,0.4216472405050059,0.7117041040364803,0.5983387590843062,9.842915805643155e-05
5,0.35580648804180337,0.6569836176321567,0.5606215124406715,9.755282581475769e-05
6,0.3123975770187267,0.7046107076507346,0.5792062565096971,9.648882429441257e-05
7,0.2797250153543308,0.7098463097449755,0.5889143382719884,9.524135262330098e-05
8,0.24536587482637207,0.7177841580814052,0.6210212012067646,9.381533400219317e-05
9,0.22861163659906167,0.7252153352474244,0.6203806786835,9.221639627510075e-05
10,0.20985392222471438,0.7068062827225131,0.6189461513900695,9.045084971874735e-05
11,0.19204514672324677,0.7189663908123628,0.6089039664761872,8.852566213878945e-05
12,0.17971999343402534,0.749366661036987,0.6346748070973215,8.644843137107056e-05
13,0.16310009860239932,0.7437932781624725,0.6431276626176431,8.422735529643442e-05
14,0.15734002473023775,0.7660868096605303,0.6389586270853009,8.187119948743447e-05
15,0.14243531900686798,0.749366661036987,0.6224742853656398,7.938926261462366e-05
16,0.1331216347680919,0.7473399763553453,0.6342425243790609,7.679133974894982e-05
17,0.12398779897774208,0.7760513426786015,0.6511249416903613,7.408768370508575e-05
18,0.11354536342884455,0.752744468839723,0.6394512727470197,7.128896457825361e-05
19,0.10362018950911532,0.7708157405843608,0.6552896995345667,6.840622763423389e-05
20,0.1011441109656084,0.7915892585711873,0.6598403734427005,6.545084971874736e-05
21,0.08671487747192694,0.7763891234588752,0.6581972006551539,6.243449435824272e-05
22,0.08233181623368727,0.8044249282215842,0.6715017100428542,5.9369065729286224e-05
23,0.08073705606132078,0.7912514777909136,0.6705943569093366,5.626666167821521e-05
24,0.07295577547815188,0.7890559027191353,0.667142712447566,5.3139525976465657e-05
25,0.06989891555108108,0.8039182570511738,0.6754065780023242,4.999999999999998e-05
26,0.055477421579106324,0.8064516129032258,0.685366752992824,4.6860474023534314e-05
27,0.05435180126924876,0.7920959297415977,0.6757380645867146,4.3733338321784775e-05
28,0.05329860874605159,0.8059449417328154,0.678173257853882,4.063093427071375e-05
29,0.04726171266163747,0.8049315993919945,0.6720849159436624,3.756550564175724e-05
30,0.04070658151992584,0.8064516129032258,0.6867715653837838,3.454915028125263e-05
31,0.03729898549028779,0.8125316669481506,0.698220826054703,3.1593772365766105e-05
32,0.038370278430285266,0.8022293531498058,0.6768866672872103,2.8711035421746357e-05
33,0.03244586577396808,0.8123627765580138,0.6908487628254031,2.591231629491422e-05
34,0.02868863372803263,0.8231717615267691,0.6966213047511596,2.3208660251050148e-05
35,0.026749630565580138,0.8167539267015707,0.6946995736365574,2.061073738537634e-05
36,0.02394981504814706,0.8214828576254011,0.7027330482790651,1.8128800512565503e-05
37,0.019729656801434212,0.8201317345043067,0.6940600901864343,1.5772644703565555e-05
38,0.019490427317883783,0.8238473230873163,0.6962704245538941,1.3551568628929426e-05
39,0.020477686110929337,0.8231717615267691,0.6965106780223896,1.1474337861210536e-05
40,0.01834057903476174,0.8236784326971796,0.6947560965893613,9.549150281252626e-06
41,0.014731212338278095,0.8312785002533356,0.7100198099027805,7.783603724899252e-06
42,0.012963419610997777,0.8263806789393684,0.7029116178904716,6.184665997806817e-06
43,0.013750434776045253,0.830096267522378,0.6986296743468732,4.75864737669903e-06
44,0.012814667341945325,0.8304340483026516,0.7070308071750302,3.5111757055874303e-06
45,0.012563302036962501,0.8270562404999156,0.6991159724862978,2.4471741852423216e-06
46,0.010558485889884324,0.8295895963519676,0.6977967613110205,1.5708419435684504e-06
47,0.011173033061967796,0.8285762540111468,0.6995992797595959,8.856374635655631e-07
48,0.011114878450948702,0.8346563080560716,0.7092892316197494,3.942649342761114e-07
49,0.009056250239931849,0.8327985137645668,0.7031975469619854,9.866357858642197e-08
