epoch,train_loss,val_accuracy,val_macro_f1,lr
1,0.8994033782827553,0.29488262117885494,0.20961430317572027,9.990133642141359e-05
2,0.6012421257289396,0.3225806451612903,0.22284100465931428,9.96057350657239e-05
3,0.45852151277645037,0.3659854754264482,0.23761278772057742,9.911436253643444e-05
4,0.37009663217244004,0.3514609018746833,0.2343313618787793,9.842915805643155e-05
5,0.30615253331632664,0.36733659854754264,0.2398723750645022,9.755282581475769e-05
6,0.2615557551828348,0.35754095591960816,0.24566094487755588,9.648882429441257e-05
7,0.22220255046600773,0.3957101840905253,0.25499064289797024,9.524135262330098e-05
8,0.2057038505420524,0.3869278838034116,0.2552385346482508,9.381533400219317e-05
9,0.17897764676063146,0.3999324438439453,0.25787227417279623,9.221639627510075e-05
10,0.16732163158250138,0.4220570849518662,0.26901564259849814,9.045084971874735e-05
11,0.1468249065139184,0.42594156392501265,0.2622506143351358,8.852566213878945e-05
12,0.13678251546304868,0.4124303327140686,0.26381889570338063,8.644843137107056e-05
13,0.12542648847073953,0.4431683837189664,0.2702249358038612,8.422735529643442e-05
14,0.12294586665669774,0.40331025164668133,0.2629765312684433,8.187119948743447e-05
15,0.10578690302731794,0.4413105894274616,0.27108363592874773,7.938926261462366e-05
16,0.10352872209927144,0.449417328154028,0.27648530248984005,7.679133974894982e-05
17,0.08948810883590382,0.4279682486066543,0.26411894454022333,7.408768370508575e-05
18,0.09203348364591349,0.4293193717277487,0.26509668594256663,7.128896457825361e-05
19,0.08240189478007602,0.420537071440635,0.27068248736945233,6.840622763423389e-05
20,0.07398832970168082,0.42273264651241343,0.2652971518910737,6.545084971874736e-05
21,0.07214454485701495,0.4198615098800878,0.2578004921627387,6.243449435824272e-05
22,0.06544369051940012,0.42577267353487586,0.27427848941259314,5.9369065729286224e-05
23,0.05969761697250729,0.42729268704610707,0.271011579961751,5.626666167821521e-05
24,0.05524519904771149,0.42155041378145586,0.2734944749753307,5.3139525976465657e-05
